job_title,category,job_details
Customer Care Experience Associate,Penjualan – Pra & Pasca (Teknologi Informasi & Komunikasi),"Job Desc :
Membantu penyusunan dan penyajian laporan performa layanan secara rutin untuk pelanggan, berdasarkan data dan temuan operasional.
Berpartisipasi dalam kunjungan pelanggan bersama atasan atau tim untuk mendengarkan langsung masukan dan membangun relasi positif.
Mencatat dan mengelola semua masukan dari pelanggan, baik dari pertemuan langsung, email, maupun media lainnya.
Menyusun dokumentasi hasil kunjungan pelanggan dan memberikan insight awal atas potensi masalah atau area perbaikan.
Membantu analisis data survei kepuasan pelanggan (CSI/NPS), serta mengelompokkan feedback berdasarkan topik dan prioritas.
Berkoordinasi dengan unit layanan terkait untuk menindaklanjuti keluhan pelanggan yang belum terselesaikan
Mendukung pelaksanaan program customer engagement (email blast, feedback form, info layanan, dll).
Membantu pelaksanaan survei kepuasan pelanggan dan menganalisis hasil secara sederhana untuk keperluan laporan internal.
Requirements :
Pendidikan minimal D3/S1
Pengalaman minimal 2 tahun dibidang layanan pelanggan atau pengalaman pelanggan (customer experience).
Mampu mengelola dan menyusun laporan pelanggan menggunakan Microsoft Excel dan PowerPoint.
Memiliki keterampilan komunikasi tertulis dan lisan yang sangat baik, serta berorientasi pada pelayanan.
Mampu mendengarkan secara aktif dan menyampaikan kembali kebutuhan pelanggan dengan jelas.
Terampil dalam presentasi, memiliki kemampuan interpersonal dan negosiasi dasar.
Bersedia melakukan kunjungan kerja ke pelanggan seluruh cabang
(on-site perjalanan via darat/udara/laut)
secara berkala
Memiliki kemampuan analitis dasar dalam membaca tren kepuasan pelanggan dan memberikan saran awal.
Penempatan : HQ (Cyber 2 Tower) dan WFO"
Customer Solution Associate (6-months contract),Analis Bisnis/Sistem (Teknologi Informasi & Komunikasi),"Purpose of Role
The Customer Solution Associate is a critical team member responsible for executing initiatives that improve guest experiences and operational excellence. This position focuses on branch-level training, travel planning, and administrative support. By ensuring high-quality training, offering tailored travel planning services, and maintaining efficient administrative processes, the role contributes to the seamless delivery of Bobobox’s guest-centric services.
What you will do:
Execute training programs for branch staff, from preparation to delivery and evaluation
Ensure training aligns with organizational standards, enhances staff capabilities, and supports the goal of positively impacting revenue
Develop personalized travel plans and sell ancillary products (e.g., F&B and activities) to guests before their stay
Collaborate with internal teams to offer engaging and seamless pre-booking experiences
Assist in managing department expense requests, incentive programs, and voucher processing
Maintain accurate records and ensure timely completion of administrative tasks
You will fit in this job if you:
Bachelor’s degree in Hospitality, Tourism, Business, Management, or a related field (or equivalent experience)
At least 1 year of experience in training facilitation and a sales-related role, preferably within the hospitality or F&B industries
Strong organizational and multitasking skills to manage varied responsibilities effectively
Excellent communication and interpersonal abilities to collaborate with teams and deliver guest-centric services
Willingness to travel as needed (up to 30%)"
Website Administrator,Pengembangan & Produksi Web (Teknologi Informasi & Komunikasi),"Job Description:
Perform installation, upgrade, support, and maintenance for WordPress and plug-in.
Perform the day-to-day and regular maintenance of the websites: (Back up website, Monitor spam message, Monitor login attack report)
Regularly update and maintain plugins to ensure compatibility and security.
Optimizing the SEO of website.
Manage the content management.
Manage the current websites.
Monitoring expiry hosting & domain and SSL.
Monitoring the websites load speed and visitor count.
Updating format jpeg to webp.
Create standard design for company and product logo
Perform other responsibilities and duties assigned by the supervisor/manager.
Requirements:
Speak fluently and write effectively in English
Familiar with Wordpress and Plugin
Can do SEO and Google Analytics is an added advantage
Desire to work in a Software Company
An organized person with a positive mindset
Academic: Diploma / Degree or higher in related course
Experience: Min 1 year in similar environment"
IT Support,Meja Bantuan & Dukungan IT (Teknologi Informasi & Komunikasi),"Tanggung Jawab Utama
Memberikan dukungan teknis dan troubleshooting untuk berbagai masalah hardware, software, dan jaringan yang dihadapi karyawan.
Menginstal, mengonfigurasi, dan memelihara perangkat komputer, printer, dan peralatan IT lainnya.
Memantau dan memelihara infrastruktur IT untuk memastikan ketersediaan dan kinerja yang optimal.
Memberikan pelatihan dan panduan kepada karyawan mengenai penggunaan sistem dan aplikasi IT.
Mengidentifikasi dan mengatasi masalah IT secara efisien, serta berkoordinasi dengan tim untuk menyelesaikan masalah yang kompleks.
Mengelola inventaris aset IT dan memastikan keamanan data dan sistem.
Mengembangkan dan mengimplementasikan prosedur dan praktik terbaik untuk dukungan IT.
Keterampilan, Kualifikasi, dan Pengalaman yang Dibutuhkan
Diploma atau gelar di bidang Teknologi Informasi, Sistem Informasi, atau disiplin terkait.
Minimal 2 tahun pengalaman dalam peran IT Support atau helpdesk.
Pemahaman yang baik tentang sistem operasi, aplikasi desktop, jaringan, dan infrastruktur IT.
Kemampuan troubleshooting dan pemecahan masalah yang efektif.
Keterampilan komunikasi yang baik, kemampuan bekerja dalam tim, dan berorientasi pada layanan pelanggan.
Pengetahuan tentang manajemen aset IT dan praktik keamanan data.
Kemampuan untuk bekerja dalam lingkungan yang cepat berubah dan bertanggung jawab."
IT Support,Meja Bantuan & Dukungan IT (Teknologi Informasi & Komunikasi),"Kualifikasi:
Pendidikan minimal SMK/D3/S1 Teknik Komputer/Informatika
Berpengalaman minimal 1 tahun
Mengerti aplikasi Microsoft Office
Mengerti MS SQL Server dan Windows
Memiliki pengetahuan terkait troubleshooting Aplikasi
Mampu bekerja secara tim dan individu
Mampu bekerja di bawah tekanan dan memiliki inisiatif dalam bekerja
Berkepribadian menarik, teliti, dinamis dan memiliki kemauan untuk berkembang
Domisili Jabodetabek
Lokasi kerja Jakarta Pusat
Jobdesk:
Memperbaharui sistem operasi dan aplikasi yangi dijalankan pengguna
Melakukan pengecekan atau maintenance jaringan dan PC pada kantor pusat dan kantor cabang
Menjaga keamanan system operasi dari segala ancaman termasuk virus
Melakukan back up database mingguan dan bulanan
Memastikan seluruh perangkat pengguna/karyawan terhubung ke jaringan dan berjalan dengan baik
Memastikan data di komputer pengguna aman
Membantu karyawan jika ada masalah dalam penggunaan komputer dan jaringan
Merakit PC dan melakukan instalasi sistem operasi terutama Windows
Maintenance website Perusahaan"
Staff IT Programmer,Developer/Programmer (Teknologi Informasi & Komunikasi),"Tanggung Jawab Utama
Mengembangkan, dan mengimplementasikan aplikasi perangkat lunak dan sistem teknologi informasi yang sesuai dengan kebutuhan perusahaan.
Menganalisis dan memecahkan masalah teknis yang timbul selama fase pengembangan dan implementasi.
Memelihara dan meningkatkan sistem yang ada untuk meningkatkan kinerja dan efisiensi.
Memberikan dukungan teknis dan pelatihan kepada pengguna akhir.
Terus mengikuti perkembangan teknologi terbaru dan memberikan saran perbaikan.
Keterampilan, Kualifikasi, dan Pengalaman yang Dibutuhkan
Minimal D3 dalam Ilmu Komputer, Teknologi Informasi, atau bidang terkait.
Minimal 3 tahun pengalaman sebagai Programmer atau Pengembang Perangkat Lunak.
Mahir dalam Programming (Typescript : Node, React, Next.js, AWS), Database management (My SQL/Prosgresql & AWS Dbd)
Kemampuan bekerja dalam tim dan berkolaborasi dengan berbagai pemangku kepentingan.
Memiliki kemampuan pemecahan masalah, kreativitas, dan orientasi detail yang kuat
Memiliki passion (menyukai coding) dan semangat untuk belajar
Bersedia melakukan perjalanan dinas ke seluruh unit operasional perusahaan"
IT NETWORK,Teknik – Jaringan (Teknologi Informasi & Komunikasi),"Kesempatan
PT Infracom Telesarana, perusahaan ICT terkemuka di Indonesia, sedang mencari kandidat berbakat untuk bergabung dengan tim kami sebagai IT Network. Dalam peran ini, Anda akan memegang peran strategis dalam membangun dan memelihara infrastruktur jaringan perusahaan kami yang menghubungkan berbagai lokasi dan layanan. Sebagai anggota tim kami, Anda akan memainkan peran kunci dalam menjaga kelangsungan bisnis dan mendukung pertumbuhan kami di seluruh Indonesia.
Tanggung Jawab
Merancang, mengimplementasi, dan memelihara jaringan komputer, LAN, WAN, dan infrastruktur terkait untuk mendukung operasional bisnis.
Memantau dan menganalisis kinerja jaringan, mengidentifikasi masalah, dan menerapkan solusi untuk memastikan ketersediaan dan stabilitas sistem yang optimal.
Melakukan konfigurasi, pembaruan, dan pemeliharaan perangkat keras dan perangkat lunak jaringan, seperti router, switch, firewall, dan aplikasi manajemen jaringan.
Mengidentifikasi dan menerapkan perbaikan serta peningkatan keamanan jaringan untuk melindungi infrastruktur dari ancaman cyber.
Berkoordinasi dengan tim IT lainnya dan pemangku kepentingan bisnis untuk memastikan solusi jaringan yang terintegrasi dan selaras dengan kebutuhan organisasi.
Memberikan dukungan teknis, melatih, dan memberdayakan pengguna akhir untuk mengoptimalkan penggunaan infrastruktur jaringan.
Persyaratan
Minimal 1 tahun pengalaman dalam peran serupa, dengan pemahaman yang mendalam tentang teknologi dan konsep jaringan.
Kemampuan yang terbukti dalam merancang, mengonfigurasi, dan memelihara jaringan LAN, WAN, dan infrastruktur terkait.
Pengetahuan yang mahir tentang routing, switching, keamanan jaringan, dan protokol jaringan.
Kemampuan troubleshooting yang kuat dan pengalaman mengatasi masalah jaringan kompleks.
Pemahaman yang baik tentang praktik terbaik dan standar industri dalam manajemen jaringan.
Kemampuan berkomunikasi yang efektif, baik secara lisan maupun tertulis, untuk berinteraksi dengan tim teknis dan pemangku kepentingan bisnis.
Bersemangat untuk terus belajar dan mengembangkan keterampilan teknis terbaru.
Manfaat
Program pengembangan profesional dan pelatihan yang berkelanjutan untuk meningkatkan keterampilan Anda.
Berbagai manfaat tambahan, seperti BPJS, Medical, Kacamata, cuti tahunan, dan program kesejahteraan karyawan."
IT DEVELOPER STAFF,Developer/Programmer (Teknologi Informasi & Komunikasi),"Deskripsi Pekerjaan :
Melakukan analisa, design, develop, dan dokumentasi Program
Melakukan troubleshoot dan mencari solusi terhadap problem di Program
Melakukan testing terhadap Program
Mendevelop report-report yang dibutuhkan oleh user
Memberikan training kepada user mengenai penggunaan Program
Kualifikasi :
Pendidikan S1 Teknik Informatika/ Sistem Informasi/ Teknik Komputer
Pengalaman sebagai Programmer 5 tahun
Menguasai Web Based Programming (PHP, Javascript, CSS)
Menguasai Framework CI dan Laravel
Menguasai Database SQL Server, MySQL
Jujur, Disiplin, dan Bertanggung jawab
Dapat bekerja sama dengan tim dan berkomunikasi dengan baik
Penempatan di kantor Jakarta ( Mampang Prapatan – Jaksel )"
Project Admin,Administrasi Jaringan & Sistem (Teknologi Informasi & Komunikasi),"Deskripsi Pekerjaan :
Melakukan koordinasi antar tim teknis dan non-teknis untuk memastikan alur komunikasi berjalan efektif.
Membantu dalam proses pengadaan barang/jasa yang terkait dengan proyek IT (pengajuan PR/PO, koordinasi dengan vendor, dll).
Menjaga kerahasiaan informasi dan dokumen proyek.
Menyusun anggaran project dan laporan realisasinya.
Mengontrol end-to-end project dari aktivitas terkait dokumen
Kualifikasi :
Pendidikan Minimal D3/S1 dengan jurusan Sistem Informasi, Teknik Komputer, Teknik Informatika atau bidang terkait.
Memiliki pengalaman bekerja Minimal 1 tahun sebagai Project Admin (Berpengalaman di Industri IT menjadi nilai tambah).
Mampu mengoperasikan Microsoft Office (Word, Excel, PowerPoint),
Memiliki kemampuan organisasi, dokumentasi, dan komunikasi yang baik.
Mampu bekerja dalam tim maupun mandiri.
Dapat bergabung secepatnya"
Pengawas Lapangan (Infrastruktur Telekomunikasi) - Serang,Telekomunikasi (Teknologi Informasi & Komunikasi),"Deskripsi Pekerjaan:
Memastikan kegiatan operasional harian serta kualitas pekerjaan vendor sesuai ketentuan dan kesepakatan
Mengumpulkan serta memproses Acceptance Test Procedure (ATP) & Qualification Test Procedure (QTP)
Mengumpulkan data Home Passed sesuai dengan proyek dengan melakukan survey lapangan
Membantu Analyst untuk membuat laporan progress proyek update harian
Kualifikasi:
Pendidikan minimal D3; Diutamakan jurusan teknik sipil, elektro, telekomunikasi
Usia 25 - 35 tahun
Pengalaman di bidang yang sama minimal 2 tahun
Jujur, pekerja keras, dan teliti
Memiliki kemampuan komunikasi dan manajemen waktu yang baik
Menguasai pekerjaan instalasi dan mengetahui pekerjaan CME
Menguasai FTTH dan survey Homepass
Informasi Tambahan:
Penempatan di
Serang
Dengan Mendaftar berarti setuju untuk ditempatkan di
Serang"
Support Engineer,Teknik – Jaringan (Teknologi Informasi & Komunikasi),"Job Title: Support Engineer
Job Level: Staff
Departement: Support
Atasan Langsung: Support Engineer Departement Head
Lokasi Kerja: Taman Mpu Sendok, SCBD dan Oakwood Building
Kualifikasi:
Pendidikan minimal SMK Teknik, diutamakan jurusan Teknik Komputer dan Jaringan (TKJ).
Memiliki pengalaman kerja di bidang instalasi jaringan.
Menguasai penggunaan alat splicing, OTDR, dan OPM.
Memahami topologi jaringan FTTH (Fiber to the Home).
Memiliki pengetahuan dasar jaringan komputer.
Menguasai instalasi dan konfigurasi perangkat jaringan seperti WiFi, Access Point (AP), dan Wireless Router.
Berpengalaman melakukan site survey WiFi menggunakan aplikasi Ekahau.
Pernah mengikuti pelatihan terkait: Instalasi jaringan FTTH, Splicing dan penggunaan OTDR, IP Addressing, Subnetting, Routing Dasar, dan Topologi Jaringan.
Siap bekerja di lapangan, Cekatan dan memiliki inisiatif tinggi, dan Tidak takut bekerja di ketinggian.
Memiliki komunikasi yang baik, Disiplin, jujur, dan bertanggung jawab.
Tugas dan tanggung jawab:
Melaksanakan pekerjaan instalasi jaringan telekomunikasi ke pelanggan.
Melaksanakan aktivasi dan buka isolir layanan telepon, TV, komunikasi data, dan internet di pelanggan.
Melakukan pemutusan dan isolir layanan telepon, TV, komunikasi data, dan internet di pelanggan.
Melakukan test koneksi jaringan telekomunikasi (
Ber Test
, cek redaman
fiber optic
, cek
bandwith
).
Membuat laporan survei jaringan (instalasi maupun relokasi) dan menandatangani berita acara serah terima bersama pelanggan.
Melakukan analisis dan penyelesaian gangguan jaringan telekomunikasi.
Memberikan dukungan pelaksanaan proyek.
Memproses pengajuan izin kerja ke
building management
.
Mengaplikasikan instruksi kerja dengan baik.
Menjalin kerjasama yang baik dengan sesama teknisi dan pelanggan.
Berperilaku disiplin, sopan, dan ramah dalam setiap koordinasi, baik internal maupun eksternal."
IT ERP (SAP) Functional Staff,Analis Bisnis/Sistem (Teknologi Informasi & Komunikasi),"Responsibilities:
- Evaluate & mapping the company system with business process
- Proactive looking for continuous improvement in business process
- Provide/handling users support and training in ERP System
- Ensure that the ERP System and application operate reliably and efficiently
- Develop and maintain ERP System customization
- Create report on system effectiveness
Requirements:
- Bachelor's degree in computer science or IT related field
- Having min 3 years of experience especially in ERP, SAP S/4HANA functional and modules will be preferred
- Good in English both written and speaking
- Proficiency computer skill: MS Office including ERP System
- Able to multitask, prioritize and manage time effeciently
- Willing to travel to any office location, including remote site areas"
IT Server & Network Engineer,Administrasi Jaringan & Sistem (Teknologi Informasi & Komunikasi),"Tugas & Tanggung Jawab:
1. Infrastruktur Server dan Jaringan:
Mengelola server fisik dan virtual (Windows/Linux), termasuk instalasi, konfigurasi, dan pemeliharaan rutin.
Merancang dan mengelola topologi jaringan LAN/WAN, firewall, VPN, dan perangkat jaringan (switch, router, access point).
Memantau kinerja jaringan dan server, serta melakukan optimasi sistem jika diperlukan.
2. Pengelolaan Sistem UPS dan Daya Listrik IT:
Menyediakan dan memelihara sistem UPS untuk mendukung infrastruktur IT (server, storage, dan perangkat jaringan).
Melakukan perhitungan kapasitas daya UPS dan distribusi beban listrik untuk memastikan ketahanan dan keandalan daya.
Melakukan inspeksi, pengujian rutin, dan pemeliharaan preventif UPS.
Bekerja sama dengan vendor atau teknisi listrik untuk troubleshooting dan upgrade sistem UPS.
Memastikan sistem UPS terintegrasi dengan sistem monitoring dan memiliki notifikasi kegagalan otomatis.
3. Keamanan dan Keandalan Sistem:
Memastikan sistem memiliki failover dan dukungan kelistrikan yang memadai untuk menghadapi outage.
Menerapkan sistem backup dan recovery yang berkelanjutan.
Menyusun SOP tanggap darurat jika terjadi gangguan daya atau kerusakan perangkat.
4. Dukungan Teknis & Dokumentasi:
Memberikan dukungan teknis kepada tim internal untuk masalah terkait server, jaringan, dan sistem daya.
Mendokumentasikan konfigurasi perangkat, instalasi UPS, dan skema kelistrikan ruang server/data center.
Menyediakan laporan performa sistem secara berkala.
Kualifikasi:
Pendidikan minimal D3/S1 Teknik Informatika, Elektro, atau bidang terkait.
Pengalaman minimal 2 tahun di bidang IT Infrastruktur dengan penanganan sistem UPS.
Pemahaman teknis yang baik mengenai jaringan, server, dan sistem kelistrikan dasar.
Terampil dalam pengoperasian perangkat UPS (APC, Eaton, Schneider, dll) dan sistem pemantauannya.
Memiliki sertifikasi di bidang jaringan atau kelistrikan (CCNA, MTCNA, atau Sertifikat K3 Listrik adalah nilai tambah).
Mampu membaca diagram kelistrikan dan mendesain layout distribusi daya untuk ruang server/data center."
IT Solution Specialist,Administrasi Jaringan & Sistem (Teknologi Informasi & Komunikasi),"Minimum memiliki pengalaman 2 tahun. Fresh graduate masih diterima.
S1 dari jurusan ilmu komputer, software engineer, sistem informasi, atau jurusan IT lainnya.
Memahami cloud (AWS, GCP, atau Azure)
Bersedia dalam membantu kebutuhan technical client
Memiliki pemahaman kuat untuk prinsip-prinsip Fullstack
Frontend: Dapat menggunakan Javascript, HTML5, CSS3
Backend: Memahami Node.JS, Python, atau Java
Database: Pemahaman dasar SQL (ex. PostgreSQL, MySQL)
APIs: Memahami RESTful APIs
Dapat berkomunikasi dengan baik
Proaktif dalam belajar hal baru
Dapat bekerja sama dengan orang lain"
